1. Antarcticonf The Conference At The Edge Of The World, 05 Jan, 2020,San Antonio,Chile,Paid,https://antarcticonf.com/
2. Trion All India Bootcamp, 19 Jan, 2020,Delhi,India,Paid,https://konfhub.com/trionbootcamp
3. DELIVERY CONF , 21 Jan, 2020,Seattle,USA,Paid,https://www.deliveryconf.com
4. AppSec California, 21 Jan, 2020,Santa Monica,USA,Paid,https://2020.appseccalifornia.org/
5. NDC Security 2020, 22 Jan, 2020,Oslo,Norway,Paid,https://ndc-security.com/
6. Machine Learning Developers, 22 Jan, 2020,Bangalore,India,Paid,https://www.mlds.analyticsindiasummit.com/
7. NDC London 2020 , 27 Jan, 2020,London,England,Paid,https://ndc-london.com/
8. Distributed Systems Conference , 01 Feb, 2020,Pune,India,Paid,https://dsconf.in/
9. Data Business Congress 2020, 03 Feb, 2020,San Jose, USA,Paid,https://web.cvent.com/event/10240ffb-fa61-43b2-9038-73c9838049ae/summary
10. Microsoft Lgnite The Tour Washington, 06 Feb, 2020,Washington,US,Paid,https://www.microsoft.com/en-us/ignite-the-tour/washington-dc
11. Alexa Community Day Bengaluru 2020, 08 Feb, 2020,Bangalore,India,Paid,https://konfhub.com/alexablr
12. ANNUAL INTERNATIONAL CONFERENCE On Data Science Machine Learning Blockchain Technology, 12 Feb, 2020,Mysore, India,Paid,https://aicdmb.co.in/
13. HR Tech, 15 Feb, 2020,Mumbai,India,Paid,https://www.worldhrdcongress.com/HRD/hrtech/Mumbai/mumbai-index.html
14. Data Science Salon, 18 Feb, 2020,Austin, USA,Paid,https://www.datascience.salon/austin/
15. PHP UK Conference 2020 , 19 Feb, 2020,London,England,Paid,https://www.papercall.io/phpuk2020
16. GraphQL Asia 2020, 20 Feb, 2020,Bengaluru,India,Paid,https://graphql.asia/
17. DevOpsCon London 2020, 22 Feb, 2020,London, UK,Paid,https://devopscon.io/london/
18. Software Architecture Conference, 25 Feb, 2020,New York, USA,Paid,https://conferences.oreilly.com/software-architecture/sa-ny
19. PGConf India 2020, 26 Feb, 2020,Bangalore,India,Paid,https://pgconf.in/conferences/pgconfin2020
20. QCon London, 02 Mar, 2020,London,UK,Paid,https://qconlondon.com/
21. GOTO Oslo 2020, 03 Mar, 2020,oslo,norway,Paid,https://goto-oslo.com/
22. Devopsdays NYC 2020, 03 Mar, 2020,New York,USA,Paid,https://www.papercall.io/dodnyc2020
23. ScaleConf , 05 Mar, 2020,Cape Town,South Africa,Paid,https://scaleconf.org/
24. Namma Cloud Conference, 06 Mar, 2020,Bangalore,India,Paid,https://konfhub.com/ncc/index.html
25.  JavaScript Fwdays, 14 Mar, 2020,Kyiv, Ukraine,Paid,https://fwdays.com/en/event/js-fwdays-2020
26. Agile India 2020, 15 Mar, 2020,Bangalore,India,Paid,https://2020.agileindia.org/
27. DevOps Talks Conference Melbourne, 18 Mar, 2020,Melbourne,Australia,Paid,https://devops.talksplus.com/au/devops.html
28. Devops Pro Europe 2020, 24 Mar, 2020,Vilnius, Lithuania,Paid,https://devopspro.lt/
29. Dev Next, 24 Mar, 2020,Broomfield,USA,Paid,https://www.devdotnext.com/
30. Scale Summit, 27 Mar, 2020,London, UK,Paid,https://www.scalesummit.org/
31. Kubecon Cloudnative Europe, 30 Mar, 2020,Amsterdam,Netherlands,Paid,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/
32. WORLD'S ORIGINAL ANGULAR CONFERENCE, 01 Apr, 2020,Salt Lake City,USA,Paid,https://www.ng-conf.org/
33. DevOn Summit, 02 Apr, 2020,Utrecht,netherlands,Paid,https://www.devonsummit.com/
34. DevOpsDays Toronto 2020, 16 Apr, 2020,Toronto, Canada,Paid,https://devopsdays.org/events/2020-toronto/welcome/
35. NDC Porto 2020, 21 Apr, 2020,Porto, Portugal,Paid,https://ndcporto.com/
36.  DEVOPS 2020, 21 Apr, 2020,Helsinki,Finland,Paid,https://devops2020.com/
37. React Day, 25 Apr, 2020,Bangalore,India,Paid,https://reactday.in/
38. Red Hat Summit 2020 , 27 Apr, 2020,San Francisco, USA,Paid,https://www.redhat.com/en/summit
39. DevOps Conference, 29 Apr, 2020,Moscow,Russia,Paid,https://devoops-moscow.ru/en/
40. AWS Community Day, 29 Apr, 2020,Ahmedabad,India,Paid,https://awsahmedabad.community/
41. MongoDB World 2020 , 04 May, 2020,New York, USA,Paid,https://www.eventbrite.com/e/mongodb-world-2020-tickets-63496684292
